Column1,NYC,Column2,Column3,Column4,Atlanta,Column5,Column6,Column7,Miami,Column8,Column9,Column10,San Francisco,Column11,Column12,Column13,Los Angeles,Column14,Column15,Column16
,Class A,Class B ,Class C,Average,Class A,Class B ,Class C,Average,Class A,Class B ,Class C,Average,Class A,Class B ,Class C,Average,Class A,Class B ,Class C,Average
1Q 2016,3.50%,5.68%,7.03%,5.40%,4.78%,6.85%,9.78%,7.14%,4.96%,6.94%,9.90%,7.27%,4.11%,6.58%,9.00%,6.56%,4.48%,6.50%,8.97%,6.65%
2Q 206,3.49%,5.67%,7.01%,5.39%,4.82%,6.90%,9.86%,7.19%,4.95%,6.92%,9.88%,7.25%,4.10%,6.56%,8.97%,6.54%,4.47%,6.48%,8.95%,6.63%
3Q 2016,3.48%,5.65%,6.99%,5.37%,4.76%,6.82%,9.73%,7.10%,4.94%,6.90%,9.85%,7.23%,4.09%,6.54%,8.95%,6.53%,4.45%,6.46%,8.92%,6.61%
4Q 2016,3.58%,5.82%,7.19%,5.53%,5.00%,7.16%,10.22%,7.46%,5.07%,7.08%,10.11%,7.42%,4.20%,6.71%,9.18%,6.70%,4.57%,6.63%,9.15%,6.78%
1Q 2017,3.52%,5.71%,7.06%,5.43%,4.95%,7.13%,10.13%,7.40%,5.00%,6.99%,9.98%,7.32%,4.14%,6.63%,9.06%,6.61%,4.51%,6.55%,9.03%,6.70%
2Q 2017,3.49%,5.67%,7.01%,5.39%,4.92%,7.05%,10.07%,7.35%,4.97%,6.94%,9.91%,7.27%,4.12%,6.58%,9.00%,6.57%,4.48%,6.50%,8.97%,6.65%
3Q 2017,4.88%,7.76%,10.93%,7.86%,4.89%,7.01%,10.01%,7.30%,4.93%,6.88%,9.82%,7.21%,4.12%,6.59%,9.01%,6.57%,4.30%,6.24%,8.61%,6.38%
4Q 2017,4.88%,7.77%,10.94%,7.86%,4.94%,7.07%,10.01%,7.34%,4.93%,6.89%,9.84%,7.22%,4.13%,6.60%,9.03%,6.59%,4.31%,6.26%,8.63%,6.40%
1Q 2018,4.96%,7.88%,11.10%,7.98%,5.12%,7.33%,10.47%,7.64%,5.01%,7.00%,10.00%,7.34%,4.19%,6.71%,9.17%,6.69%,4.38%,6.36%,8.77%,6.50%
2Q 2018,4.96%,7.89%,11.12%,7.99%,5.14%,7.36%,10.51%,7.67%,5.02%,7.01%,10.02%,7.35%,4.20%,6.72%,9.19%,6.70%,4.39%,6.37%,8.79%,6.52%
3Q 2018,4.96%,7.88%,11.10%,7.98%,5.10%,7.31%,10.44%,7.62%,5.01%,7.00%,9.99%,7.33%,4.19%,6.71%,9.17%,6.69%,4.38%,6.36%,8.77%,6.50%
4Q 2018,5.04%,8.01%,11.29%,8.11%,5.17%,7.42%,10.59%,7.73%,5.09%,7.11%,10.16%,7.45%,4.26%,6.82%,9.32%,6.80%,4.45%,6.46%,8.91%,6.61%
1Q 2019,4.87%,7.74%,10.91%,7.84%,4.98%,7.14%,10.19%,7.44%,4.92%,6.87%,9.81%,7.20%,4.12%,6.59%,9.00%,6.57%,4.30%,6.24%,8.61%,6.38%
2Q 2019,4.71%,7.55%,10.64%,7.63%,4.83%,6.92%,9.88%,7.21%,4.76%,6.69%,9.56%,7.00%,3.98%,6.42%,8.77%,6.39%,4.15%,6.08%,8.39%,6.21%
3Q 2019,4.56%,7.31%,10.30%,7.39%,4.89%,7.01%,10.10%,7.33%,4.60%,6.47%,9.24%,6.77%,3.85%,6.20%,8.48%,6.18%,4.02%,5.88%,8.11%,6.00%
4Q 2019,4.57%,7.34%,10.34%,7.42%,4.65%,6.67%,9.52%,6.95%,4.61%,6.50%,9.28%,6.80%,3.86%,6.23%,8.52%,6.20%,4.03%,5.90%,8.14%,6.02%
1Q 2020,4.48%,7.18%,10.13%,7.26%,4.58%,6.55%,9.36%,6.83%,4.52%,6.36%,9.08%,6.65%,3.78%,6.09%,8.33%,6.07%,3.94%,5.77%,7.96%,5.89%
2Q 2020,4.29%,6.86%,9.67%,6.94%,4.34%,6.22%,8.88%,6.48%,4.32%,6.07%,8.66%,6.35%,3.62%,5.81%,7.95%,5.79%,3.77%,5.51%,7.60%,5.63%
3Q 2020,4.33%,6.93%,9.76%,7.01%,4.40%,6.31%,9.00%,6.57%,4.36%,6.13%,8.75%,6.41%,3.65%,5.87%,8.03%,5.85%,3.81%,5.57%,7.68%,5.69%
4Q 2020,4.39%,7.01%,9.87%,7.09%,4.44%,6.36%,9.08%,6.63%,4.43%,6.20%,8.86%,6.50%,3.71%,5.94%,8.13%,5.93%,3.87%,5.63%,7.77%,5.76%
1Q 2021,4.44%,7.11%,10.02%,7.19%,4.55%,6.52%,9.31%,6.79%,4.48%,6.30%,8.99%,6.59%,3.75%,6.03%,8.25%,6.01%,3.91%,5.72%,7.89%,5.84%
2Q 2021,4.54%,7.29%,10.27%,7.37%,4.66%,6.69%,9.55%,6.97%,4.58%,6.45%,9.22%,6.75%,3.84%,6.18%,8.45%,6.16%,4.00%,5.86%,8.09%,5.98%
3Q 2021,4.41%,7.09%,9.99%,7.16%,4.54%,6.50%,9.29%,6.78%,4.46%,6.28%,8.97%,6.57%,3.74%,6.02%,8.23%,6.00%,3.89%,5.71%,7.87%,5.82%
4Q 2021,4.45%,7.12%,10.03%,7.20%,4.54%,6.50%,9.29%,6.78%,4.49%,6.31%,9.01%,6.60%,3.76%,6.05%,8.27%,6.03%,3.92%,5.73%,7.90%,5.85%
1Q 2022,4.46%,7.13%,10.04%,7.21%,4.62%,6.62%,9.45%,6.90%,4.50%,6.32%,9.02%,6.61%,3.77%,6.05%,8.28%,6.03%,3.93%,5.73%,7.91%,5.86%
2Q 2022,4.72%,7.52%,10.59%,7.61%,4.89%,7.01%,10.01%,7.30%,4.76%,6.68%,9.53%,6.99%,3.99%,6.40%,8.75%,6.38%,4.16%,6.06%,8.36%,6.19%
3Q 2022,4.79%,7.60%,10.71%,7.70%,4.93%,7.06%,10.09%,7.36%,4.83%,6.75%,9.64%,7.07%,4.04%,6.47%,8.84%,6.45%,4.22%,6.12%,8.45%,6.26%
4Q 2022,5.15%,8.17%,11.52%,8.28%,5.29%,7.58%,10.82%,7.90%,5.19%,7.25%,10.35%,7.60%,4.35%,6.95%,9.50%,6.93%,4.53%,6.58%,9.07%,6.73%
1Q 2023,6.30%,8.82%,11.58%,8.90%,5.61%,7.92%,10.26%,7.93%,4.47%,6.31%,8.17%,6.32%,4.20%,5.93%,7.69%,5.94%,4.05%,5.71%,7.40%,5.72%
2Q 2023,4.97%,6.87%,9.15%,7.00%,5.30%,7.35%,9.70%,7.45%,5.56%,7.72%,10.18%,7.82%,3.74%,5.19%,6.84%,5.26%,4.08%,5.66%,7.47%,5.74%
3Q 2023,5.09%,7.03%,9.37%,7.16%,5.48%,7.61%,10.04%,7.71%,5.70%,7.90%,10.43%,8.01%,3.83%,5.31%,7.01%,5.38%,4.18%,5.80%,7.65%,5.88%
4Q 2023,5.20%,7.19%,9.58%,7.32%,5.59%,7.76%,10.24%,7.86%,5.82%,8.07%,10.65%,8.18%,3.91%,5.43%,7.16%,5.50%,4.27%,5.93%,7.82%,6.01%
1Q 2024,5.15%,7.11%,9.49%,7.25%,5.52%,7.67%,10.11%,7.77%,5.76%,8.00%,10.55%,8.10%,3.87%,5.38%,7.09%,5.45%,4.23%,5.87%,7.74%,5.95%
2Q 2024,5.23%,7.23%,9.64%,7.37%,5.63%,7.82%,10.31%,7.92%,5.85%,8.12%,10.71%,8.23%,3.94%,5.46%,7.20%,5.53%,4.30%,5.96%,7.87%,6.04%
3Q 2024,5.02%,6.94%,9.24%,7.07%,5.35%,7.43%,9.80%,7.53%,5.63%,7.81%,10.30%,7.91%,3.78%,5.25%,6.92%,5.32%,4.13%,5.73%,7.56%,5.81%
4Q 2024,5.19%,7.17%,9.55%,7.30%,5.55%,7.70%,10.16%,7.80%,5.81%,8.06%,10.63%,8.17%,3.90%,5.42%,7.15%,5.49%,4.26%,5.91%,7.80%,5.99%
