Year by Quarter ,NYC Class A,NYC Class B ,NYC Class C,NYC Average
1Q 2016,3.50%,5.68%,7.03%,5.40%
2Q 206,3.49%,5.67%,7.01%,5.39%
3Q 2016,3.48%,5.65%,6.99%,5.37%
4Q 2016,3.58%,5.82%,7.19%,5.53%
1Q 2017,3.52%,5.71%,7.06%,5.43%
2Q 2017,3.49%,5.67%,7.01%,5.39%
3Q 2017,4.88%,7.76%,10.93%,7.86%
4Q 2017,4.88%,7.77%,10.94%,7.86%
1Q 2018,4.96%,7.88%,11.10%,7.98%
2Q 2018,4.96%,7.89%,11.12%,7.99%
3Q 2018,4.96%,7.88%,11.10%,7.98%
4Q 2018,5.04%,8.01%,11.29%,8.11%
1Q 2019,4.87%,7.74%,10.91%,7.84%
2Q 2019,4.71%,7.55%,10.64%,7.63%
3Q 2019,4.56%,7.31%,10.30%,7.39%
4Q 2019,4.57%,7.34%,10.34%,7.42%
1Q 2020,4.48%,7.18%,10.13%,7.26%
2Q 2020,4.29%,6.86%,9.67%,6.94%
3Q 2020,4.33%,6.93%,9.76%,7.01%
4Q 2020,4.39%,7.01%,9.87%,7.09%
1Q 2021,4.44%,7.11%,10.02%,7.19%
2Q 2021,4.54%,7.29%,10.27%,7.37%
3Q 2021,4.41%,7.09%,9.99%,7.16%
4Q 2021,4.45%,7.12%,10.03%,7.20%
1Q 2022,4.46%,7.13%,10.04%,7.21%
2Q 2022,4.72%,7.52%,10.59%,7.61%
3Q 2022,4.79%,7.60%,10.71%,7.70%
4Q 2022,5.15%,8.17%,11.52%,8.28%
1Q 2023,6.30%,8.82%,11.58%,8.90%
2Q 2023,4.97%,6.87%,9.15%,7.00%
3Q 2023,5.09%,7.03%,9.37%,7.16%
4Q 2023,5.20%,7.19%,9.58%,7.32%
1Q 2024,5.15%,7.11%,9.49%,7.25%
2Q 2024,5.23%,7.23%,9.64%,7.37%
3Q 2024,5.02%,6.94%,9.24%,7.07%
4Q 2024,5.19%,7.17%,9.55%,7.30%
