ATL Class A,ATL Class B ,ATL Class C,ATL Average
4.78%,6.85%,9.78%,7.14%
4.82%,6.90%,9.86%,7.19%
4.76%,6.82%,9.73%,7.10%
5.00%,7.16%,10.22%,7.46%
4.95%,7.13%,10.13%,7.40%
4.92%,7.05%,10.07%,7.35%
4.89%,7.01%,10.01%,7.30%
4.94%,7.07%,10.01%,7.34%
5.12%,7.33%,10.47%,7.64%
5.14%,7.36%,10.51%,7.67%
5.10%,7.31%,10.44%,7.62%
5.17%,7.42%,10.59%,7.73%
4.98%,7.14%,10.19%,7.44%
4.83%,6.92%,9.88%,7.21%
4.89%,7.01%,10.10%,7.33%
4.65%,6.67%,9.52%,6.95%
4.58%,6.55%,9.36%,6.83%
4.34%,6.22%,8.88%,6.48%
4.40%,6.31%,9.00%,6.57%
4.44%,6.36%,9.08%,6.63%
4.55%,6.52%,9.31%,6.79%
4.66%,6.69%,9.55%,6.97%
4.54%,6.50%,9.29%,6.78%
4.54%,6.50%,9.29%,6.78%
4.62%,6.62%,9.45%,6.90%
4.89%,7.01%,10.01%,7.30%
4.93%,7.06%,10.09%,7.36%
5.29%,7.58%,10.82%,7.90%
5.61%,7.92%,10.26%,7.93%
5.30%,7.35%,9.70%,7.45%
5.48%,7.61%,10.04%,7.71%
5.59%,7.76%,10.24%,7.86%
5.52%,7.67%,10.11%,7.77%
5.63%,7.82%,10.31%,7.92%
5.35%,7.43%,9.80%,7.53%
5.55%,7.70%,10.16%,7.80%
