Year by Quarter ,SF Class A,SF Class B ,SF Class C,SF Average
1Q 2016,4.11%,6.58%,9.00%,6.56%
2Q 206,4.10%,6.56%,8.97%,6.54%
3Q 2016,4.09%,6.54%,8.95%,6.53%
4Q 2016,4.20%,6.71%,9.18%,6.70%
1Q 2017,4.14%,6.63%,9.06%,6.61%
2Q 2017,4.12%,6.58%,9.00%,6.57%
3Q 2017,4.12%,6.59%,9.01%,6.57%
4Q 2017,4.13%,6.60%,9.03%,6.59%
1Q 2018,4.19%,6.71%,9.17%,6.69%
2Q 2018,4.20%,6.72%,9.19%,6.70%
3Q 2018,4.19%,6.71%,9.17%,6.69%
4Q 2018,4.26%,6.82%,9.32%,6.80%
1Q 2019,4.12%,6.59%,9.00%,6.57%
2Q 2019,3.98%,6.42%,8.77%,6.39%
3Q 2019,3.85%,6.20%,8.48%,6.18%
4Q 2019,3.86%,6.23%,8.52%,6.20%
1Q 2020,3.78%,6.09%,8.33%,6.07%
2Q 2020,3.62%,5.81%,7.95%,5.79%
3Q 2020,3.65%,5.87%,8.03%,5.85%
4Q 2020,3.71%,5.94%,8.13%,5.93%
1Q 2021,3.75%,6.03%,8.25%,6.01%
2Q 2021,3.84%,6.18%,8.45%,6.16%
3Q 2021,3.74%,6.02%,8.23%,6.00%
4Q 2021,3.76%,6.05%,8.27%,6.03%
1Q 2022,3.77%,6.05%,8.28%,6.03%
2Q 2022,3.99%,6.40%,8.75%,6.38%
3Q 2022,4.04%,6.47%,8.84%,6.45%
4Q 2022,4.35%,6.95%,9.50%,6.93%
1Q 2023,4.20%,5.93%,7.69%,5.94%
2Q 2023,3.74%,5.19%,6.84%,5.26%
3Q 2023,3.83%,5.31%,7.01%,5.38%
4Q 2023,3.91%,5.43%,7.16%,5.50%
1Q 2024,3.87%,5.38%,7.09%,5.45%
2Q 2024,3.94%,5.46%,7.20%,5.53%
3Q 2024,3.78%,5.25%,6.92%,5.32%
4Q 2024,3.90%,5.42%,7.15%,5.49%
