Year by Quarter ,LA Class A,LA Class B ,LA Class C,LA Average
1Q 2016,4.48%,6.50%,8.97%,6.65%
2Q 2016,4.47%,6.48%,8.95%,6.63%
3Q 2016,4.45%,6.46%,8.92%,6.61%
4Q 2016,4.57%,6.63%,9.15%,6.78%
1Q 2017,4.51%,6.55%,9.03%,6.70%
2Q 2017,4.48%,6.50%,8.97%,6.65%
3Q 2017,4.30%,6.24%,8.61%,6.38%
4Q 2017,4.31%,6.26%,8.63%,6.40%
1Q 2018,4.38%,6.36%,8.77%,6.50%
2Q 2018,4.39%,6.37%,8.79%,6.52%
3Q 2018,4.38%,6.36%,8.77%,6.50%
4Q 2018,4.45%,6.46%,8.91%,6.61%
1Q 2019,4.30%,6.24%,8.61%,6.38%
2Q 2019,4.15%,6.08%,8.39%,6.21%
3Q 2019,4.02%,5.88%,8.11%,6.00%
4Q 2019,4.03%,5.90%,8.14%,6.02%
1Q 2020,3.94%,5.77%,7.96%,5.89%
2Q 2020,3.77%,5.51%,7.60%,5.63%
3Q 2020,3.81%,5.57%,7.68%,5.69%
4Q 2020,3.87%,5.63%,7.77%,5.76%
1Q 2021,3.91%,5.72%,7.89%,5.84%
2Q 2021,4.00%,5.86%,8.09%,5.98%
3Q 2021,3.89%,5.71%,7.87%,5.82%
4Q 2021,3.92%,5.73%,7.90%,5.85%
1Q 2022,3.93%,5.73%,7.91%,5.86%
2Q 2022,4.16%,6.06%,8.36%,6.19%
3Q 2022,4.22%,6.12%,8.45%,6.26%
4Q 2022,4.53%,6.58%,9.07%,6.73%
1Q 2023,4.05%,5.71%,7.40%,5.72%
2Q 2023,4.08%,5.66%,7.47%,5.74%
3Q 2023,4.18%,5.80%,7.65%,5.88%
4Q 2023,4.27%,5.93%,7.82%,6.01%
1Q 2024,4.23%,5.87%,7.74%,5.95%
2Q 2024,4.30%,5.96%,7.87%,6.04%
3Q 2024,4.13%,5.73%,7.56%,5.81%
4Q 2024,4.26%,5.91%,7.80%,5.99%
