LA Class A,LA Class B ,LA Class C,LA Average
4.48%,6.50%,8.97%,6.65%
4.47%,6.48%,8.95%,6.63%
4.45%,6.46%,8.92%,6.61%
4.57%,6.63%,9.15%,6.78%
4.51%,6.55%,9.03%,6.70%
4.48%,6.50%,8.97%,6.65%
4.30%,6.24%,8.61%,6.38%
4.31%,6.26%,8.63%,6.40%
4.38%,6.36%,8.77%,6.50%
4.39%,6.37%,8.79%,6.52%
4.38%,6.36%,8.77%,6.50%
4.45%,6.46%,8.91%,6.61%
4.30%,6.24%,8.61%,6.38%
4.15%,6.08%,8.39%,6.21%
4.02%,5.88%,8.11%,6.00%
4.03%,5.90%,8.14%,6.02%
3.94%,5.77%,7.96%,5.89%
3.77%,5.51%,7.60%,5.63%
3.81%,5.57%,7.68%,5.69%
3.87%,5.63%,7.77%,5.76%
3.91%,5.72%,7.89%,5.84%
4.00%,5.86%,8.09%,5.98%
3.89%,5.71%,7.87%,5.82%
3.92%,5.73%,7.90%,5.85%
3.93%,5.73%,7.91%,5.86%
4.16%,6.06%,8.36%,6.19%
4.22%,6.12%,8.45%,6.26%
4.53%,6.58%,9.07%,6.73%
4.05%,5.71%,7.40%,5.72%
4.08%,5.66%,7.47%,5.74%
4.18%,5.80%,7.65%,5.88%
4.27%,5.93%,7.82%,6.01%
4.23%,5.87%,7.74%,5.95%
4.30%,5.96%,7.87%,6.04%
4.13%,5.73%,7.56%,5.81%
4.26%,5.91%,7.80%,5.99%
